Donor_Type,Organ,Primary_Payer,To Date,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Donor Types,Kidney,All Primary Payers,"494,379","1,802","22,817","23,401","21,167","19,849","19,060","17,878","17,108","16,896","16,487","16,816","16,900","16,829","16,521","16,634","17,095","16,485","16,007","15,138","14,781","14,279","13,631","12,767","12,454","11,710","11,411","11,084","10,646","10,360","9,738","9,678","9,416","8,656","8,878"
All Donor Types,Kidney,Donation,71,0,1,1,1,2,2,3,1,2,2,2,1,0,2,1,2,4,2,4,5,5,1,10,4,4,3,5,1,0,0,0,0,0,0
All Donor Types,Kidney,Foreign Government Specify,507,0,21,27,39,27,39,40,42,20,15,15,13,18,16,5,7,11,4,13,22,33,27,19,12,11,5,2,3,0,1,0,0,0,0
All Donor Types,Kidney,Free Care,210,1,1,2,5,2,6,3,4,2,8,8,7,11,8,17,20,11,12,5,10,8,15,5,2,8,3,11,14,0,0,0,1,0,0
All Donor Types,Kidney,Pending,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Donor Types,Kidney,Private insurance,"160,232",310,"7,220","7,413","6,647","6,309","5,947","5,603","5,830","5,924","5,938","6,157","6,438","6,604","6,682","6,632","7,007","6,671","6,660","6,520","6,359","6,105","6,121","5,537","5,079","4,167","3,929","3,597","2,577",131,34,26,26,15,17
All Donor Types,Kidney,Public insurance - CHIP (Children's Health Insurance Program),568,3,44,47,29,33,40,23,28,20,29,33,28,31,34,45,56,24,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Donor Types,Kidney,Public insurance - Department of VA,"2,915",9,233,243,192,212,183,146,164,159,151,152,117,145,118,122,116,100,69,67,49,41,42,29,13,12,10,8,8,0,1,0,2,2,0
All Donor Types,Kidney,Public insurance - Medicaid,"25,329",61,"1,555","1,604","1,541","1,380","1,313","1,235",894,810,751,828,872,840,913,997,"1,038",969,846,820,797,795,691,670,673,604,683,588,462,44,17,11,11,7,9
All Donor Types,Kidney,Public insurance - Medicare & Choice,"47,079",164,"3,518","3,505","3,105","2,969","3,224","2,619","2,371","2,452","2,670","2,697","2,818","2,713","2,656","2,740","2,360","2,467","1,778",87,78,37,17,6,6,7,7,4,0,0,1,1,2,0,0
All Donor Types,Kidney,Public insurance - Medicare FFS (Fee for Service),"124,483",359,"9,581","10,279","9,355","8,754","8,142","8,057","7,643","7,357","6,799","6,791","6,483","6,324","5,962","5,924","6,332","6,025","3,771",179,131,115,53,24,11,7,6,6,2,2,0,5,2,0,2
All Donor Types,Kidney,Public insurance - Medicare Unspecified,"67,743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,662","7,228","7,106","6,897","6,449","6,211","6,348","6,600","6,294","6,338","5,076",211,106,55,98,39,25
All Donor Types,Kidney,Public insurance - Other government,"2,321",7,193,258,229,148,142,125,106,118,97,106,88,109,105,98,112,169,106,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Donor Types,Kidney,Self,"1,065",0,11,19,21,12,22,24,25,30,27,26,35,34,25,47,45,33,25,39,45,55,64,55,58,64,102,66,39,5,4,4,2,1,1
All Donor Types,Kidney,US/State Govt Agency,"1,838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,171,175,187,149,178,166,177,189,211,171,3,4,5,0,1,0
All Donor Types,Kidney,Unknown,"60,016",888,439,3,2,1,0,0,0,2,0,0,0,0,0,6,0,1,1,1,2,1,2,23,82,49,180,248,"2,293","9,964","9,570","9,571","9,272","8,591","8,824"
All Donor Types,Liver,All Primary Payers,"182,705",729,"8,906","8,896","8,250","8,082","7,841","7,127","6,730","6,455","6,256","6,342","6,291","6,320","6,319","6,494","6,651","6,444","6,171","5,673","5,332","5,195","5,001","4,757","4,519","4,189","4,087","3,934","3,652","3,440","3,064","2,953","2,690","2,202","1,713"
All Donor Types,Liver,Donation,68,0,2,2,0,1,1,0,1,2,0,1,1,9,3,4,0,3,3,2,1,3,3,6,4,4,6,4,1,0,0,1,0,0,0
All Donor Types,Liver,Foreign Government Specify,831,1,23,31,27,44,47,61,62,35,36,33,35,26,20,24,15,20,6,21,35,64,43,45,12,17,16,23,6,2,0,0,0,0,1
All Donor Types,Liver,Free Care,448,0,9,8,8,10,7,6,6,14,4,12,8,22,17,13,12,24,23,14,15,27,26,26,29,24,24,27,28,1,3,1,0,0,0
All Donor Types,Liver,Pending,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Donor Types,Liver,Private insurance,"94,495",140,"4,343","4,440","3,977","3,978","3,944","3,721","3,524","3,420","3,430","3,530","3,532","3,646","3,736","3,845","3,954","3,862","3,783","3,583","3,512","3,378","3,279","3,106","2,970","2,657","2,510","2,474","1,793",115,78,78,56,60,41
All Donor Types,Liver,Public insurance - CHIP (Children's Health Insurance Program),499,1,30,40,34,27,28,26,25,26,26,31,48,32,26,31,28,21,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
All Donor Types,Liver,Public insurance - Department of VA,"2,870",9,158,166,170,184,164,144,142,139,146,114,129,136,110,113,164,140,98,80,75,68,51,46,36,27,17,21,13,5,3,1,0,1,0
All Donor Types,Liver,Public insurance - Medicaid,"27,416",43,"1,573","1,546","1,484","1,427","1,297","1,174","1,103","1,008",965,"1,045","1,051","1,069","1,040","1,036","1,134","1,078","1,000",877,799,762,708,699,682,710,762,680,593,24,17,17,6,2,5
All Donor Types,Liver,Public insurance - Medicare & Choice,"11,011",21,922,972,880,855,805,653,612,639,532,525,612,544,556,564,503,449,340,9,2,5,4,1,3,0,0,0,1,0,2,0,0,0,0
All Donor Types,Liver,Public insurance - Medicare FFS (Fee for Service),"17,713",45,"1,437","1,540","1,532","1,442","1,411","1,197","1,148","1,053",973,943,772,750,721,755,727,732,448,28,7,14,5,4,5,2,4,1,0,7,5,2,0,3,0
All Donor Types,Liver,Public insurance - Medicare Unspecified,"6,260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,871,722,697,655,591,566,498,521,455,375,8,8,3,2,2,0
All Donor Types,Liver,Public insurance - Other government,"1,448",6,117,106,116,88,112,115,84,91,105,74,65,45,55,61,54,71,74,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
All Donor Types,Liver,Self,"1,234",1,19,43,21,26,25,30,23,28,39,34,37,41,35,48,60,43,56,47,48,63,72,79,59,75,56,63,54,2,2,2,1,0,2
All Donor Types,Liver,US/State Govt Agency,"1,414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,137,113,112,155,135,140,143,144,166,131,1,1,0,1,0,0
All Donor Types,Liver,Unknown,"16,994",462,272,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,18,13,32,26,20,657,"3,275","2,945","2,848","2,624","2,134","1,664"
All Donor Types,Pancreas,All Primary Payers,"9,041",12,135,143,192,213,215,228,245,256,242,287,349,375,434,468,466,542,603,504,555,473,439,359,245,210,164,109,95,112,64,78,69,82,78
All Donor Types,Pancreas,Donation,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,3,0
All Donor Types,Pancreas,Foreign Government Specify,44,0,1,4,2,6,3,3,4,3,3,0,3,2,3,1,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
All Donor Types,Pancreas,Free Care,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,0,2,0,2,3,3,7,10,4,1,0,2,1
All Donor Types,Pancreas,Private insurance,"5,107",5,72,83,101,106,104,108,137,143,131,160,180,182,231,272,270,292,325,303,302,268,277,229,175,138,94,71,56,78,44,63,56,44,7
All Donor Types,Pancreas,Public insurance - CHIP (Children's Health Insurance Program),20,0,0,0,0,0,1,1,1,0,0,1,3,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Donor Types,Pancreas,Public insurance - Department of VA,12,0,0,1,1,1,0,0,0,2,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
All Donor Types,Pancreas,Public insurance - Medicaid,874,1,20,16,41,34,41,51,36,35,29,27,37,56,63,44,41,45,40,23,28,34,16,16,24,20,11,8,7,10,8,5,3,4,0
All Donor Types,Pancreas,Public insurance - Medicare & Choice,550,0,10,9,11,20,25,16,23,22,26,28,51,48,44,53,50,54,58,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
All Donor Types,Pancreas,Public insurance - Medicare FFS (Fee for Service),"1,097",0,24,29,34,46,39,42,43,48,52,67,69,80,79,90,95,141,103,6,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0
All Donor Types,Pancreas,Public insurance - Medicare Unspecified,"1,013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,166,208,159,136,98,35,39,42,22,19,9,4,6,5,1,0
All Donor Types,Pancreas,Public insurance - Other government,36,0,0,1,1,0,1,6,1,1,1,4,5,2,1,1,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Donor Types,Pancreas,Self,62,0,1,0,1,0,1,1,0,2,0,0,0,2,3,3,6,3,2,2,2,2,3,3,3,3,3,1,1,2,3,2,2,5,0
All Donor Types,Pancreas,US/State Govt Agency,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,4,4,7,6,5,3,3,3,1,1,0,0,0,0
All Donor Types,Pancreas,Unknown,122,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,6,0,1,0,0,0,2,23,70
All Donor Types,Kidney / Pancreas,All Primary Payers,"25,513",68,827,872,835,789,798,719,709,762,801,795,828,854,837,864,924,903,881,871,906,891,915,941,972,852,861,919,748,661,493,452,459,335,171
All Donor Types,Kidney / Pancreas,Donation,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
All Donor Types,Kidney / Pancreas,Foreign Government Specify,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
All Donor Types,Kidney / Pancreas,Free Care,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0
All Donor Types,Kidney / Pancreas,Private insurance,"4,000",0,0,1,0,0,0,2,0,1,0,3,3,3,1,5,0,0,1,26,423,459,482,525,518,441,399,431,260,12,3,0,1,0,0
All Donor Types,Kidney / Pancreas,Public insurance - Department of VA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
All Donor Types,Kidney / Pancreas,Public insurance - Medicaid,337,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,47,39,25,33,36,40,45,50,13,2,1,0,0,0,0
All Donor Types,Kidney / Pancreas,Public insurance - Medicare & Choice,26,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,2,0,2,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0
All Donor Types,Kidney / Pancreas,Public insurance - Medicare FFS (Fee for Service),12,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
All Donor Types,Kidney / Pancreas,Public insurance - Medicare Unspecified,"3,404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,397,370,385,367,394,354,388,405,297,9,3,3,5,2,1
All Donor Types,Kidney / Pancreas,Self,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,11,6,5,5,5,2,0,1,0,0,0
All Donor Types,Kidney / Pancreas,US/State Govt Agency,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,18,6,10,7,11,9,11,0,0,0,0,0,0
All Donor Types,Kidney / Pancreas,Unknown,"17,573",68,825,870,833,789,796,717,708,760,801,791,825,848,835,858,924,898,880,818,5,2,1,2,0,4,13,16,160,636,486,448,453,333,170
All Donor Types,Heart,All Primary Payers,"79,872",310,"3,658","3,552","3,408","3,244","3,191","2,804","2,655","2,531","2,378","2,322","2,332","2,212","2,163","2,209","2,193","2,125","2,015","2,057","2,155","2,202","2,199","2,188","2,348","2,293","2,343","2,363","2,340","2,297","2,170","2,127","2,107","1,705","1,676"
All Donor Types,Heart,Donation,44,0,0,0,1,0,0,0,1,0,1,1,0,4,1,1,0,2,3,0,1,1,1,0,1,5,5,6,9,0,0,0,0,0,0
All Donor Types,Heart,Foreign Government Specify,174,0,19,18,10,16,12,12,6,9,6,6,5,1,2,7,4,2,0,5,4,4,8,7,2,1,2,4,2,0,0,0,0,0,0
All Donor Types,Heart,Free Care,255,0,10,4,0,2,0,0,1,11,15,14,5,4,5,6,9,19,11,11,9,10,11,8,18,13,15,20,21,2,1,0,0,0,0
All Donor Types,Heart,Pending,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
All Donor Types,Heart,Private insurance,"35,060",59,"1,644","1,673","1,521","1,490","1,385","1,330","1,269","1,200","1,197","1,116","1,199","1,187","1,131","1,189","1,218","1,182","1,100","1,184","1,268","1,315","1,328","1,337","1,383","1,388","1,361","1,378",961,26,8,12,13,7,1
All Donor Types,Heart,Public insurance - CHIP (Children's Health Insurance Program),292,1,34,25,18,14,23,21,16,12,11,13,8,14,25,19,12,13,5,0,0,0,0,1,0,0,0,1,1,1,1,2,0,1,0
All Donor Types,Heart,Public insurance - Department of VA,855,2,59,72,65,54,50,47,37,31,35,36,34,26,24,35,24,31,24,23,23,25,31,26,21,13,2,3,1,0,1,0,0,0,0
All Donor Types,Heart,Public insurance - Medicaid,"10,699",27,672,668,605,599,552,512,453,448,404,370,382,352,380,381,339,339,376,331,315,298,283,267,257,256,281,300,228,12,2,4,2,2,2
All Donor Types,Heart,Public insurance - Medicare & Choice,"5,138",25,545,502,513,448,494,346,348,281,252,285,215,165,163,150,191,117,96,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
All Donor Types,Heart,Public insurance - Medicare FFS (Fee for Service),"7,696",27,502,505,610,574,608,496,485,484,426,442,447,401,382,365,341,359,220,6,7,4,0,1,1,1,0,0,0,0,0,0,2,0,0
All Donor Types,Heart,Public insurance - Medicare Unspecified,"4,494",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,430,473,444,456,438,507,469,474,402,222,14,5,6,6,4,3
All Donor Types,Heart,Public insurance - Other government,648,2,50,65,51,40,59,28,28,46,25,31,22,39,26,34,33,47,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
All Donor Types,Heart,Self,465,0,10,20,14,7,8,12,11,9,6,8,15,19,24,22,22,14,11,14,12,44,14,21,29,15,23,28,23,0,1,0,2,5,2
All Donor Types,Heart,US/State Govt Agency,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,52,42,56,66,55,55,58,80,103,72,3,0,0,0,0,1
All Donor Types,Heart,Unknown,"13,399",167,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,74,74,100,118,800,"2,239","2,151","2,103","2,082","1,684","1,667"
Deceased Donor,Kidney,All Primary Payers,"330,375","1,410","17,583","16,534","14,725","14,038","13,431","12,250","11,570","11,163","10,868","11,043","10,622","10,442","10,553","10,591","10,660","9,913","9,359","8,668","8,540","8,234","8,126","8,044","8,034","7,777","7,732","7,695","7,639","7,509","7,204","7,282","7,322","6,753","7,061"
Deceased Donor,Kidney,Donation,27,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,2,1,1,2,0,0,5,1,2,2,3,0,0,0,0,0,0,0
Deceased Donor,Kidney,Foreign Government Specify,257,0,13,11,11,14,22,13,13,10,8,5,8,14,10,4,5,6,1,11,16,16,16,10,6,7,4,1,2,0,0,0,0,0,0
Deceased Donor,Kidney,Free Care,112,0,1,1,4,2,4,1,1,0,4,4,5,8,6,9,8,5,4,1,2,3,8,2,1,6,1,10,11,0,0,0,0,0,0
Deceased Donor,Kidney,Pending,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor,Kidney,Private insurance,"75,301",178,"4,342","3,701","3,207","3,034","2,815","2,420","2,721","2,653","2,652","2,855","2,814","2,832","3,130","3,077","3,260","2,880","2,824","2,709","2,731","2,617","2,765","2,691","2,578","2,144","2,059","1,984","1,494",59,22,9,21,13,10
Deceased Donor,Kidney,Public insurance - CHIP (Children's Health Insurance Program),420,3,29,42,22,27,32,19,23,19,24,28,23,24,18,22,44,13,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor,Kidney,Public insurance - Department of VA,"2,265",9,209,192,166,181,148,132,140,130,127,123,86,113,87,83,66,67,43,39,23,15,23,19,11,6,8,8,7,0,1,0,2,1,0
Deceased Donor,Kidney,Public insurance - Medicaid,"18,271",51,"1,301","1,251","1,196","1,055","1,042",962,660,593,549,598,621,571,667,720,746,645,523,500,499,465,451,453,440,423,469,418,334,31,11,8,7,6,5
Deceased Donor,Kidney,Public insurance - Medicare & Choice,"36,215",134,"2,979","2,758","2,423","2,386","2,596","2,074","1,801","1,827","2,039","2,075","2,107","1,990","2,036","2,086","1,737","1,801","1,232",51,36,21,3,2,4,4,6,3,0,0,1,1,2,0,0
Deceased Donor,Kidney,Public insurance - Medicare FFS (Fee for Service),"98,297",304,"8,229","8,389","7,519","7,228","6,664","6,530","6,136","5,836","5,379","5,279","4,894","4,807","4,523","4,501","4,706","4,371","2,675",112,68,67,34,18,7,2,3,4,2,1,0,5,2,0,2
Deceased Donor,Kidney,Public insurance - Medicare Unspecified,"50,375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,953","5,128","5,056","4,913","4,722","4,696","4,813","5,014","4,840","4,864","3,977",144,86,35,85,29,20
Deceased Donor,Kidney,Public insurance - Other government,"1,557",7,136,174,162,104,96,88,64,77,75,70,60,75,65,58,72,110,60,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor,Kidney,Self,491,0,8,13,12,5,11,10,11,15,10,5,4,8,10,26,16,12,14,15,15,18,24,26,35,35,62,40,19,2,4,3,2,1,0
Deceased Donor,Kidney,US/State Govt Agency,"1,128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,97,90,98,78,110,95,111,133,155,132,2,2,3,0,0,0
Deceased Donor,Kidney,Unknown,"45,658",724,336,1,2,1,0,0,0,2,0,0,0,0,0,5,0,1,0,0,1,1,2,12,43,23,145,205,"1,661","7,270","7,077","7,218","7,201","6,703","7,024"
